Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
5,TSUBAME 2.0,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology",NEC/HP,Japan,2010,Academic,73278,56994,1192000.0,2287630.0,52.11,2490368,0,1398.61,852.27,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon X56xx (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia
11,Kraken XT5,Cray XT5-HE Opteron Six Core 2.6 GHz,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,United States,2011,Academic,112800,0,919100.0,1173000.0,78.35,3844936,0,3090.0,297.44,MPP,Opteron Six Core 6C 2.60GHz,AMD x86_64,2600,Linux,Linux,None,6,Opteron Six Core,Cray XT5-HE,Cray XT,Proprietary Network,Proprietary,North America,Americas
18,Lomonosov,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR",Moscow State University - Research Computing Center,T-Platforms,Russia,2011,Academic,33072,21756,674105.0,1373060.0,49.1,2073599,0,2800.0,240.75,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon X56xx (Westmere-EP),T-Platforms T-Blade2,T-Platforms Cluster,Infiniband,Infiniband,Eastern Europe,Europe
19,HECToR,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect",University of Edinburgh,Cray Inc.,United Kingdom,2011,Academic,90112,0,660243.0,829030.4,79.64,0,0,,,MPP,Opteron 6276 16C 2.30GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,None,16,Opteron 6200 Series,Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Northern Europe,Europe
21,Mole-8.5,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan",China,2011,Academic,29440,0,496500.0,1012650.0,49.03,768000,0,540.0,919.44,Cluster,Xeon X5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,NVIDIA 2050,4,Xeon X55xx (Nehalem-EP),Mole-8.5 Cluster,Mole-8.5 Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
25,Ranger,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",Texas Advanced Computing Center/Univ. of Texas,Sun Microsystems,United States,2008,Academic,62976,0,433200.0,579379.2,74.77,0,0,2000.0,216.6,Cluster,Opteron Quad Core 4C 2.30GHz,AMD x86_64,2300,Linux,Linux,None,4,Opteron Quad Core,Sun Blade x6420,Sun Blade System,Infiniband,Infiniband,North America,Americas
28,Helios,"Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Bull SA,Japan,2011,Academic,20480,0,360868.0,442368.0,81.58,2568384,0,,,Cluster,Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia
33,LOEWE-CSC,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",Universitaet Frankfurt,Clustervision/Supermicro,Germany,2011,Academic,16368,0,299300.0,508499.2,58.86,2095104,0,416.78,718.12,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,ATI GPU,12,Opteron 12 Core,SuperServer 2022TG-GIBQRF,Supermicro SuperServer,Infiniband,Infiniband QDR,Western Europe,Europe
39,Lonestar 4,"Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR",Texas Advanced Computing Center/Univ. of Texas,Dell,United States,2011,Academic,22656,0,251800.0,301777.0,83.44,2128224,0,,,Cluster,Xeon X5680 6C 3.33GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),PowerEdge M610 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
41,,"Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR",Calcul Canada/Calcul Québec/Université de Sherbrooke,SGI,Canada,2011,Academic,37728,0,240300.0,316915.2,75.82,2030280,0,,,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,Rackable C2112-4G3 Cluster,Rackable Cluster,Infiniband,Infiniband QDR,North America,Americas
43,Jade,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),SGI,France,2010,Academic,23040,0,237800.0,267878.4,88.77,2487240,0,1064.0,223.5,MPP,Xeon E5450 4C 3.00GHz,Intel Core,3000,SLES10 + SGI ProPack 5,Linux,None,4,"Xeon 5400-series ""Harpertown""",SGI Altix ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
44,Lindgren,"Cray XE6, Opteron 12 Core 2.10 GHz, Custom",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2011,Academic,36384,0,237200.0,305625.6,77.61,0,0,,,MPP,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,Cray XE6,Cray XE,Custom Interconnect,Custom,Northern Europe,Europe
47,RWTH Compute Cluster (RCC),"Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband",Universitaet Aachen/RWTH,Bull SA,Germany,2011,Academic,25448,0,219838.0,270538.0,81.26,2145920,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Bullx B500 Cluster,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
48,Gordon,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR",UCSD/San Diego Supercomputer Center,Appro International,United States,2011,Academic,12608,0,218100.0,262246.0,83.17,1941632,970816,252.16,864.93,Cluster,Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5,Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
53,Shaheen,Blue Gene/P Solution,King Abdullah University of Science and Technology,IBM,Saudi Arabia,2009,Academic,65536,0,190900.0,222822.4,85.67,0,0,504.0,378.77,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,Western Asia,Asia
54,Carter,"Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",Purdue University,Hewlett-Packard,United States,2011,Academic,10368,0,186900.0,215654.4,86.67,1471712,0,,,Cluster,Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 SL6500,HP Cluster Platform 3000SL,Infiniband,FDR Infiniband,North America,Americas
72,,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",University of Tokyo/Institute for Solid State Physics,SGI,Japan,2010,Academic,15360,0,161800.0,180019.2,89.88,2351496,0,719.0,225.03,MPP,Xeon X5570 4C 2.93GHz,Intel EM64T,2930,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),SGI Altix ICE 8400EX,SGI Altix,Infiniband,Infiniband QDR,Eastern Asia,Asia
77,VSC-2,"Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR",Vienna Scientific Cluster,Megware,Austria,2011,Academic,20776,0,152900.0,182829.0,83.63,1994496,0,,,Cluster,Opteron 6132HE 8C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,8,Opteron 8 Core,Saxonid 6100,Megware Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
78,MRI,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",University of Colorado,Dell,United States,2010,Academic,15648,0,152200.0,175257.6,86.84,1757600,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),PowerEdge C6100 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
79,HPC,"PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G",University of Southern California,Dell/Sun/IBM,United States,2011,Academic,20925,0,149900.0,196465.0,76.3,0,0,,,Cluster,Xeon E5410 4C 2.33GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Dell/Sun/IBM Cluster,Myrinet,Myrinet 10G,North America,Americas
83,Guillimin,"iDataPlex DX360M3, Xeon 2.66, Infiniband",CLUMEQ - McGill University,IBM,Canada,2010,Academic,14400,0,136300.0,153216.0,88.96,1532160,0,337.0,404.45,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
88,Zeus,"Cluster Platform 3000 BL 2x220, Xeon X5650 6C 2.66 GHz, Infiniband",Cyfronet,Hewlett-Packard,Poland,2011,Academic,15264,0,128790.0,162408.96,79.3,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband,Eastern Europe,Europe
91,Vayu,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",National Computational Infrastructure National Facility (NCI-NF),Oracle,Australia,2010,Academic,11936,0,126399.82,139889.92,90.36,0,0,,,Cluster,Xeon X5570 4C 2.93GHz,Intel EM64T,2930,CentOS,Linux,None,4,Xeon X55xx (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,Australia and New Zealand,Oceania
92,,Cray XE6 12-core 2.1 GHz,University of Chicago,Cray Inc.,United States,2010,Academic,17856,0,125800.0,149990.0,83.87,0,0,677.4,185.71,MPP,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,Cray XE6,Cray XE,Custom Interconnect,Custom,North America,Americas
96,HokieSpeed,"SuperServer  2026GT-TRF, Xeon E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2050",Virginia Tech,Supermicro,United States,2011,Academic,8320,5824,120400.0,238201.6,50.55,355520,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,CentOS,Linux,NVIDIA 2050,4,Xeon E56xx (Westmere-EP),SuperServer 2026GT-TRF,Supermicro SuperServer,Infiniband,Infiniband QDR,North America,Americas
97,,Blue Gene/P Solution,IDRIS,IBM,France,2008,Academic,40960,0,119310.0,139264.0,85.67,0,0,315.0,378.76,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,Western Europe,Europe
105,Lattice,"DL170/SL390 , Xeon E5649 2.53GHz/L5520 4C 2.26GHz, Infiniband QDR, NVIDIA 2070",Compute Canada/WestGrid/University of Calgary,Hewlett-Packard,Canada,2011,Academic,13672,2520,108701.0,193514.08,56.17,0,0,,,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,NVIDIA 2070,4,Xeon L55xx (Nehalem-EP),DL170/SL390 ,HP Cluster Platform 3000,Infiniband,Infiniband QDR,North America,Americas
107,MVS-100K,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Joint Supercomputer Center,Hewlett-Packard,Russia,2009,Academic,11680,0,107448.0,140160.0,76.66,0,0,,,Cluster,Xeon X5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,Xeon X54xx (Harpertown),Cluster Platform 3000 BL460c/BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
