Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
4,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT5-HE Opteron Six Core 2.6 GHz,United States,2009,98928,831700.0,1028850.0,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
11,Texas Advanced Computing Center/Univ. of Texas,Sun Microsystems,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200.0,579379.0,0,0,2000.0,62976,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Sun Blade System,Sun Blade x6420,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
13,Moscow State University - Research Computing Center,T-Platforms,"T-Platforms T-Blade2, Xeon 5570 2.93 GHz, Infiniband QDR",Russia,2009,35360,350100.0,414419.0,2489344,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,T-Platforms Cluster,T-Platforms T-Blade2,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
16,University of Edinburgh,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,United Kingdom,2010,43660,274700.0,366744.0,2416744,0,0.0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,MPP,Academic,Not Specified,Custom,Custom,Northern Europe,Europe
18,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",France,2010,23040,237800.0,267878.0,2487240,0,1064.0,23040,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
19,"Institute of Process Engineering, Chinese Academy of Sciences","IPE, nVidia Tesla C2050, Tyan","Mole-8.5 Cluster Xeon L5520 2.26 Ghz, nVidia Tesla, Infiniband",China,2010,33120,207300.0,1138440.0,1113600,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,Custom Cluster,Mole-8.5 Cluster Xeon/Tesla/Mellanox QDR Infiniband,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
23,King Abdullah University of Science and Technology,IBM,Blue Gene/P Solution,Saudi Arabia,2009,65536,190900.0,222822.0,0,0,504.0,0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Asia,Asia
26,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,22656,174083.0,208435.0,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
31,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200.0,175258.0,1757600,0,0.0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
36,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128.0,165195.0,1367871,0,888.82,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
